Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M1.2,2010-05-05T17:13Z,2010-05-05T17:19Z,2010-05-05T17:22Z,11069,8,No
M1.0,2010-06-13T05:30Z,2010-06-13T05:39Z,2010-06-13T05:44Z,11079,49,No
M2.0,2010-06-12T00:30Z,2010-06-12T00:57Z,2010-06-12T01:02Z,11081,54,No
M1.0,2010-08-07T17:55Z,2010-08-07T18:24Z,2010-08-07T18:47Z,11093,115,No
M2.9,2010-10-16T19:07Z,2010-10-16T19:12Z,2010-10-16T19:15Z,11112,211,No
M5.4,2010-11-06T15:27Z,2010-11-06T15:36Z,2010-11-06T15:44Z,11121,245,No
M1.6,2010-11-04T23:30Z,2010-11-04T23:58Z,2010-11-05T00:12Z,11121,245,No
M1.0,2010-11-05T12:43Z,2010-11-05T13:29Z,2010-11-05T14:06Z,11121,245,No
M1.3,2011-01-28T00:44Z,2011-01-28T01:03Z,2011-01-28T01:10Z,11149,345,No
M1.9,2011-02-09T01:23Z,2011-02-09T01:31Z,2011-02-09T01:35Z,11153,362,No
X2.2,2011-02-15T01:44Z,2011-02-15T01:56Z,2011-02-15T02:06Z,11158,377,2011-02-15T02:25:00-CME-001
M6.6,2011-02-13T17:28Z,2011-02-13T17:38Z,2011-02-13T17:47Z,11158,377,No
M6.6,2011-02-18T09:55Z,2011-02-18T10:11Z,2011-02-18T10:15Z,11158,377,No
M2.2,2011-02-14T17:20Z,2011-02-14T17:26Z,2011-02-14T17:32Z,11158,377,No
M1.6,2011-02-16T14:19Z,2011-02-16T14:25Z,2011-02-16T14:29Z,11158,377,No
M1.4,2011-02-18T12:59Z,2011-02-18T13:03Z,2011-02-18T13:06Z,11158,377,No
M1.3,2011-02-18T20:56Z,2011-02-18T21:04Z,2011-02-18T21:14Z,11162,384,No
M1.1,2011-02-16T07:35Z,2011-02-16T07:44Z,2011-02-16T07:55Z,11161,384,No
M1.0,2011-02-18T10:23Z,2011-02-18T10:26Z,2011-02-18T10:37Z,11162,384,No
M1.0,2011-02-18T14:00Z,2011-02-18T14:08Z,2011-02-18T14:15Z,11162,384,No
M3.5,2011-02-24T07:23Z,2011-02-24T07:35Z,2011-02-24T07:42Z,11163,392,2011-02-24T08:00:00-CME-001
M3.7,2011-03-07T19:43Z,2011-03-07T20:12Z,2011-03-07T20:58Z,11164,393,2011-03-07T20:12:00-CME-001
M1.8,2011-03-07T09:14Z,2011-03-07T09:20Z,2011-03-07T09:28Z,11164,393,No
M1.4,2011-03-07T07:59Z,2011-03-07T08:07Z,2011-03-07T08:15Z,11164,393,No
M1.2,2011-03-07T05:00Z,2011-03-07T05:13Z,2011-03-07T05:19Z,11164,393,No
M1.1,2011-02-28T12:38Z,2011-02-28T12:52Z,2011-02-28T13:03Z,11164,393,No
M5.3,2011-03-08T10:35Z,2011-03-08T10:44Z,2011-03-08T10:55Z,11165,394,No
M4.4,2011-03-08T18:08Z,2011-03-08T18:28Z,2011-03-08T18:41Z,11165,394,No
M1.5,2011-03-07T07:49Z,2011-03-07T07:54Z,2011-03-07T07:56Z,11165,394,No
M1.5,2011-03-07T21:45Z,2011-03-07T21:50Z,2011-03-07T21:55Z,11165,394,No
M1.4,2011-03-08T19:46Z,2011-03-08T20:16Z,2011-03-08T21:19Z,11165,394,No
M1.3,2011-03-08T02:24Z,2011-03-08T02:29Z,2011-03-08T02:32Z,11165,394,No
X1.5,2011-03-09T23:13Z,2011-03-09T23:23Z,2011-03-09T23:29Z,11166,401,No
M2.0,2011-03-07T13:45Z,2011-03-07T14:30Z,2011-03-07T14:56Z,11166,401,2011-03-07T14:40:00-CME-001
M1.7,2011-03-09T10:35Z,2011-03-09T11:07Z,2011-03-09T11:21Z,11166,401,No
M1.7,2011-03-09T13:17Z,2011-03-09T14:02Z,2011-03-09T14:13Z,11166,401,No
M1.3,2011-03-12T04:33Z,2011-03-12T04:43Z,2011-03-12T04:48Z,11166,401,No
M4.2,2011-03-14T19:30Z,2011-03-14T19:52Z,2011-03-14T19:54Z,11169,407,No
M1.0,2011-03-15T00:18Z,2011-03-15T00:22Z,2011-03-15T00:24Z,11169,407,No
M1.5,2011-03-08T03:37Z,2011-03-08T03:58Z,2011-03-08T04:20Z,11171,415,2011-03-08T05:00:00-CME-001
M1.4,2011-03-23T02:03Z,2011-03-23T02:17Z,2011-03-23T02:24Z,11176,437,No
M1.0,2011-03-24T12:01Z,2011-03-24T12:07Z,2011-03-24T12:11Z,11176,437,No
M1.0,2011-03-25T23:08Z,2011-03-25T23:22Z,2011-03-25T23:30Z,11176,437,No
M1.3,2011-04-15T17:02Z,2011-04-15T17:12Z,2011-04-15T17:28Z,11190,495,No
M1.8,2011-04-22T04:35Z,2011-04-22T04:57Z,2011-04-22T05:14Z,11195,514,No
M1.2,2011-04-22T15:47Z,2011-04-22T15:53Z,2011-04-22T16:11Z,11195,514,No
M2.5,2011-06-07T06:16Z,2011-06-07T06:41Z,2011-06-07T06:59Z,11226,637,2011-06-07T06:50:00-CME-001
M1.4,2011-05-29T10:08Z,2011-05-29T10:33Z,2011-05-29T11:08Z,11226,637,No
M1.1,2011-05-28T21:09Z,2011-05-28T21:50Z,2011-05-28T22:01Z,11226,637,No
M1.3,2011-06-14T21:36Z,2011-06-14T21:47Z,2011-06-14T22:10Z,11236,667,No
M1.1,2011-07-27T15:48Z,2011-07-27T16:07Z,2011-07-27T16:22Z,11260,746,No
M9.3,2011-08-04T03:41Z,2011-08-04T03:57Z,2011-08-04T04:04Z,11261,750,2011-08-04T04:10:00-CME-001
M9.3,2011-07-30T02:04Z,2011-07-30T02:09Z,2011-07-30T02:12Z,11261,750,No
M6.0,2011-08-03T13:17Z,2011-08-03T13:48Z,2011-08-03T14:10Z,11261,750,2011-08-03T13:55:00-CME-001
M1.4,2011-08-02T05:19Z,2011-08-02T06:19Z,2011-08-02T06:48Z,11261,750,No
M1.1,2011-08-03T03:08Z,2011-08-03T03:37Z,2011-08-03T03:51Z,11261,750,No
X6.9,2011-08-09T07:48Z,2011-08-09T08:05Z,2011-08-09T08:08Z,11263,753,No
M3.5,2011-08-08T18:00Z,2011-08-08T18:10Z,2011-08-08T18:18Z,11263,753,No
M2.5,2011-08-09T03:19Z,2011-08-09T03:54Z,2011-08-09T04:08Z,11263,753,No
M1.7,2011-08-03T04:29Z,2011-08-03T04:32Z,2011-08-03T04:35Z,11263,753,No
M3.2,2011-09-04T11:21Z,2011-09-04T11:45Z,2011-09-04T11:50Z,11286,814,No
M1.6,2011-09-05T04:08Z,2011-09-05T04:28Z,2011-09-05T04:32Z,11286,814,No
M1.2,2011-09-05T07:27Z,2011-09-05T07:58Z,2011-09-05T08:06Z,11286,814,No
X2.1,2011-09-06T22:12Z,2011-09-06T22:20Z,2011-09-06T22:24Z,11283,833,No
X1.8,2011-09-07T22:32Z,2011-09-07T22:38Z,2011-09-07T22:44Z,11283,833,2011-09-07T23:24:00-CME-001
M6.7,2011-09-08T15:32Z,2011-09-08T15:46Z,2011-09-08T15:52Z,11283,833,No
M5.3,2011-09-06T01:35Z,2011-09-06T01:50Z,2011-09-06T02:05Z,11283,833,No
M2.7,2011-09-09T06:01Z,2011-09-09T06:11Z,2011-09-09T06:17Z,11283,833,No
M1.2,2011-09-09T12:39Z,2011-09-09T12:49Z,2011-09-09T12:56Z,11283,833,No
M1.1,2011-09-10T07:18Z,2011-09-10T07:40Z,2011-09-10T07:56Z,11283,833,No
M1.7,2011-09-24T16:36Z,2011-09-24T16:59Z,2011-09-24T17:15Z,11295,856,No
M1.6,2011-09-23T01:47Z,2011-09-23T01:59Z,2011-09-23T02:10Z,11295,856,No
M1.6,2011-09-23T21:54Z,2011-09-23T22:15Z,2011-09-23T22:34Z,11295,856,No
M1.8,2011-09-21T12:04Z,2011-09-21T12:23Z,2011-09-21T12:45Z,11301,878,No
X1.9,2011-09-24T09:21Z,2011-09-24T09:40Z,2011-09-24T09:48Z,11302,892,No
X1.4,2011-09-22T10:29Z,2011-09-22T11:01Z,2011-09-22T11:44Z,11302,892,2011-09-22T11:24:00-CME-001
M7.4,2011-09-25T04:31Z,2011-09-25T04:50Z,2011-09-25T05:05Z,11302,892,No
M7.1,2011-09-24T12:33Z,2011-09-24T13:20Z,2011-09-24T14:10Z,11302,892,No
M5.8,2011-09-24T20:29Z,2011-09-24T20:36Z,2011-09-24T20:42Z,11302,892,No
M4.4,2011-09-25T02:27Z,2011-09-25T02:33Z,2011-09-25T02:37Z,11302,892,No
M4.0,2011-09-26T05:06Z,2011-09-26T05:08Z,2011-09-26T05:13Z,11302,892,No
M3.7,2011-09-25T15:26Z,2011-09-25T15:33Z,2011-09-25T15:38Z,11302,892,No
M3.1,2011-09-24T17:19Z,2011-09-24T17:25Z,2011-09-24T17:31Z,11302,892,No
M3.1,2011-09-25T08:46Z,2011-09-25T08:49Z,2011-09-25T08:52Z,11302,892,No
M3.0,2011-09-24T19:09Z,2011-09-24T19:21Z,2011-09-24T19:41Z,11302,892,No
M2.8,2011-09-24T17:59Z,2011-09-24T18:15Z,2011-09-24T18:24Z,11302,892,No
M2.6,2011-09-26T14:37Z,2011-09-26T14:46Z,2011-09-26T15:02Z,11302,892,No
M1.9,2011-09-23T23:48Z,2011-09-23T23:56Z,2011-09-24T00:04Z,11302,892,No
M1.3,2011-10-02T17:19Z,2011-10-02T17:23Z,2011-10-02T17:26Z,11302,892,No
M1.2,2011-09-28T13:24Z,2011-09-28T13:28Z,2011-09-28T13:30Z,11302,892,No
M1.1,2011-09-22T09:53Z,2011-09-22T10:00Z,2011-09-22T10:09Z,11302,892,No
M2.2,2011-09-25T16:51Z,2011-09-25T16:58Z,2011-09-25T17:09Z,11303,899,No
M1.5,2011-09-25T09:25Z,2011-09-25T09:35Z,2011-09-25T09:53Z,11303,899,No
M1.2,2011-09-24T21:23Z,2011-09-24T21:27Z,2011-09-24T21:32Z,11303,899,No
M1.0,2011-09-24T23:45Z,2011-09-24T23:58Z,2011-09-25T00:09Z,11303,899,No
M3.9,2011-10-02T00:37Z,2011-10-02T00:50Z,2011-10-02T00:59Z,11305,902,No
M1.2,2011-10-01T08:56Z,2011-10-01T09:59Z,2011-10-01T10:17Z,11305,902,No
M1.0,2011-09-30T18:55Z,2011-09-30T19:06Z,2011-09-30T19:15Z,11305,902,No
M1.3,2011-10-22T10:00Z,2011-10-22T11:10Z,2011-10-22T13:09Z,11314,940,No
M1.3,2011-10-21T12:53Z,2011-10-21T13:00Z,2011-10-21T13:08Z,11319,940,No
X1.9,2011-11-03T20:16Z,2011-11-03T20:27Z,2011-11-03T20:32Z,11339,1028,No
M4.3,2011-11-02T21:52Z,2011-11-02T22:01Z,2011-11-02T22:19Z,11339,1028,No
M3.7,2011-11-05T03:08Z,2011-11-05T03:35Z,2011-11-05T03:58Z,11339,1028,No
M2.5,2011-11-03T10:58Z,2011-11-03T11:11Z,2011-11-03T11:20Z,11339,1028,No
M2.1,2011-11-03T23:28Z,2011-11-03T23:36Z,2011-11-03T23:44Z,11339,1028,No
M1.8,2011-11-05T20:31Z,2011-11-05T20:38Z,2011-11-05T20:54Z,11339,1028,No
M1.4,2011-11-06T06:14Z,2011-11-06T06:35Z,2011-11-06T06:41Z,11339,1028,No
M1.2,2011-11-06T00:46Z,2011-11-06T01:03Z,2011-11-06T01:24Z,11339,1028,No
M1.2,2011-11-15T09:03Z,2011-11-15T09:12Z,2011-11-15T09:23Z,11348,1028,No
M1.1,2011-11-05T11:10Z,2011-11-05T11:21Z,2011-11-05T11:42Z,11339,1028,No
M1.1,2011-11-15T22:27Z,2011-11-15T22:35Z,2011-11-15T22:42Z,11348,1028,No
M1.0,2011-11-04T20:31Z,2011-11-04T20:40Z,2011-11-04T20:46Z,11339,1028,No
M1.1,2011-11-09T13:04Z,2011-11-09T13:35Z,2011-11-09T14:12Z,11342,1041,No
M1.9,2011-11-15T12:30Z,2011-11-15T12:43Z,2011-11-15T12:50Z,11346,1066,No
M4.0,2011-12-25T18:11Z,2011-12-25T18:16Z,2011-12-25T18:20Z,11387,1209,No
M2.3,2011-12-26T20:12Z,2011-12-26T20:30Z,2011-12-26T20:36Z,11387,1209,No
M1.5,2011-12-26T02:13Z,2011-12-26T02:27Z,2011-12-26T02:36Z,11387,1209,No
M2.4,2011-12-31T13:09Z,2011-12-31T13:15Z,2011-12-31T13:19Z,11389,1256,No
M2.0,2011-12-29T21:43Z,2011-12-29T21:51Z,2011-12-29T21:59Z,11389,1256,No
M1.9,2011-12-29T13:40Z,2011-12-29T13:50Z,2011-12-29T14:01Z,11389,1256,No
M1.5,2011-12-31T16:16Z,2011-12-31T16:26Z,2011-12-31T16:34Z,11389,1256,No
M1.2,2011-12-30T03:03Z,2011-12-30T03:09Z,2011-12-30T03:13Z,11389,1256,No
X1.8,2012-01-27T17:37Z,2012-01-27T18:37Z,2012-01-27T18:56Z,11402,1321,2012-01-27T16:39:00-CME-001
M8.7,2012-01-23T03:38Z,2012-01-23T03:59Z,2012-01-23T04:34Z,11402,1321,2012-01-23T04:00:00-CME-001
M3.2,2012-01-19T13:44Z,2012-01-19T16:05Z,2012-01-19T17:50Z,11402,1321,No
M1.7,2012-01-18T19:04Z,2012-01-18T19:12Z,2012-01-18T19:27Z,11401,1321,No
M1.4,2012-01-14T13:14Z,2012-01-14T13:18Z,2012-01-14T13:20Z,11401,1321,No
M1.0,2012-01-17T04:41Z,2012-01-17T04:53Z,2012-01-17T05:07Z,11401,1321,No
M1.0,2012-02-06T19:31Z,2012-02-06T20:00Z,2012-02-06T20:17Z,11410,1350,No
X5.4,2012-03-07T00:02Z,2012-03-07T00:24Z,2012-03-07T00:40Z,11429,1449,2012-03-07T00:36:00-CME-001
X1.3,2012-03-07T01:05Z,2012-03-07T01:14Z,2012-03-07T01:23Z,11430,1449,2012-03-07T01:25:00-CME-001
X1.1,2012-03-05T02:30Z,2012-03-05T04:09Z,2012-03-05T04:43Z,11429,1449,2012-03-05T04:00:00-CME-001
M8.4,2012-03-10T17:15Z,2012-03-10T17:44Z,2012-03-10T18:30Z,11429,1449,2012-03-10T18:09:00-CME-001
M7.9,2012-03-13T17:12Z,2012-03-13T17:41Z,2012-03-13T18:25Z,11429,1449,2012-03-13T17:52:00-CME-001
M6.3,2012-03-09T03:22Z,2012-03-09T03:53Z,2012-03-09T04:18Z,11429,1449,2012-03-09T04:25:00-CME-001
M3.3,2012-03-02T17:29Z,2012-03-02T17:46Z,2012-03-02T18:07Z,11429,1449,No
M2.1,2012-03-05T19:10Z,2012-03-05T19:16Z,2012-03-05T19:21Z,11429,1449,No
M2.1,2012-03-06T12:23Z,2012-03-06T12:41Z,2012-03-06T12:54Z,11429,1449,No
M2.0,2012-03-04T10:29Z,2012-03-04T10:52Z,2012-03-04T12:16Z,11429,1449,No
M1.8,2012-03-05T19:27Z,2012-03-05T19:30Z,2012-03-05T19:32Z,11429,1449,No
M1.3,2012-03-05T22:26Z,2012-03-05T22:34Z,2012-03-05T22:42Z,11429,1449,No
M1.3,2012-03-06T00:22Z,2012-03-06T00:28Z,2012-03-06T00:31Z,11429,1449,No
M1.2,2012-03-06T01:36Z,2012-03-06T01:44Z,2012-03-06T01:50Z,11429,1449,No
M1.0,2012-03-06T04:01Z,2012-03-06T04:05Z,2012-03-06T04:08Z,11429,1449,No
M1.0,2012-03-06T07:52Z,2012-03-06T07:55Z,2012-03-06T08:00Z,11429,1449,No
M1.0,2012-03-06T22:49Z,2012-03-06T22:53Z,2012-03-06T23:11Z,11429,1449,No
M2.8,2012-03-14T15:08Z,2012-03-14T15:21Z,2012-03-14T15:36Z,11432,1461,No
M1.8,2012-03-15T07:23Z,2012-03-15T07:52Z,2012-03-15T08:08Z,11432,1461,No
M1.3,2012-03-17T20:32Z,2012-03-17T20:39Z,2012-03-17T20:42Z,11434,1464,No
M1.0,2012-03-23T19:34Z,2012-03-23T19:40Z,2012-03-23T19:44Z,11445,1500,No
M1.7,2012-04-16T17:24Z,2012-04-16T17:45Z,2012-04-16T18:00Z,11461,1582,No
M1.0,2012-04-27T08:15Z,2012-04-27T08:24Z,2012-04-27T08:29Z,11466,1603,No
M1.9,2012-05-07T14:03Z,2012-05-07T14:31Z,2012-05-07T14:52Z,11471,1621,No
M5.7,2012-05-10T04:11Z,2012-05-10T04:18Z,2012-05-10T04:23Z,11476,1638,No
M5.1,2012-05-17T01:25Z,2012-05-17T01:47Z,2012-05-17T02:14Z,11476,1638,2012-05-17T01:48:00-CME-001
M4.7,2012-05-09T12:21Z,2012-05-09T12:32Z,2012-05-09T12:36Z,11476,1638,No
M4.1,2012-05-09T21:01Z,2012-05-09T21:05Z,2012-05-09T21:09Z,11476,1638,No
M1.8,2012-05-09T14:02Z,2012-05-09T14:08Z,2012-05-09T14:14Z,11476,1638,No
M1.7,2012-05-10T20:20Z,2012-05-10T20:26Z,2012-05-10T20:30Z,11476,1638,No
M1.4,2012-05-05T13:19Z,2012-05-05T13:23Z,2012-05-05T13:29Z,11476,1638,No
M1.4,2012-05-08T13:02Z,2012-05-08T13:08Z,2012-05-08T13:12Z,11476,1638,No
M1.3,2012-05-05T22:56Z,2012-05-05T23:01Z,2012-05-05T23:04Z,11476,1638,No
M1.3,2012-05-06T17:41Z,2012-05-06T17:47Z,2012-05-06T17:52Z,11476,1638,No
M1.1,2012-05-06T01:12Z,2012-05-06T01:18Z,2012-05-06T01:20Z,11476,1638,No
M3.3,2012-06-03T17:48Z,2012-06-03T17:55Z,2012-06-03T17:57Z,11496,1722,No
M2.1,2012-06-06T19:54Z,2012-06-06T20:06Z,2012-06-06T20:13Z,11494,1724,No
M1.9,2012-06-14T12:52Z,2012-06-14T14:35Z,2012-06-14T15:56Z,11504,1750,2012-06-14T14:09:00-CME-001
M1.9,2012-06-09T11:20Z,2012-06-09T11:32Z,2012-06-09T11:35Z,11504,1750,No
M1.8,2012-06-09T16:45Z,2012-06-09T16:53Z,2012-06-09T16:56Z,11504,1750,No
M1.3,2012-06-10T06:39Z,2012-06-10T06:45Z,2012-06-10T06:50Z,11504,1750,No
M1.2,2012-06-13T11:29Z,2012-06-13T13:17Z,2012-06-13T14:31Z,11504,1750,2012-06-13T14:00:00-CME-001
M2.8,2012-07-01T19:11Z,2012-07-01T19:18Z,2012-07-01T19:21Z,11513,1806,No
M2.4,2012-06-28T16:07Z,2012-06-28T16:12Z,2012-06-28T16:15Z,11513,1806,No
M2.2,2012-06-29T09:13Z,2012-06-29T09:20Z,2012-06-29T09:22Z,11513,1806,No
M1.8,2012-07-04T16:33Z,2012-07-04T16:39Z,2012-07-04T16:48Z,11513,1806,No
M1.6,2012-06-30T18:26Z,2012-06-30T18:32Z,2012-06-30T18:34Z,11513,1806,No
M1.1,2012-07-02T00:26Z,2012-07-02T00:35Z,2012-07-02T00:40Z,11513,1806,No
M1.0,2012-06-30T12:48Z,2012-06-30T12:52Z,2012-06-30T12:54Z,11513,1806,No
X1.1,2012-07-06T23:01Z,2012-07-06T23:08Z,2012-07-06T23:14Z,11515,1807,2012-07-06T23:12:00-CME-001
M6.9,2012-07-08T16:23Z,2012-07-08T16:32Z,2012-07-08T16:42Z,11515,1807,No
M6.1,2012-07-05T11:39Z,2012-07-05T11:44Z,2012-07-05T11:49Z,11515,1807,No
M5.6,2012-07-02T10:43Z,2012-07-02T10:52Z,2012-07-02T10:57Z,11515,1807,No
M5.3,2012-07-04T09:47Z,2012-07-04T09:55Z,2012-07-04T09:57Z,11515,1807,No
M4.7,2012-07-05T03:25Z,2012-07-05T03:36Z,2012-07-05T03:39Z,11515,1807,No
M4.6,2012-07-04T22:03Z,2012-07-04T22:09Z,2012-07-04T22:15Z,11515,1807,No
M3.8,2012-07-02T19:59Z,2012-07-02T20:07Z,2012-07-02T20:13Z,11515,1807,No
M2.9,2012-07-06T01:37Z,2012-07-06T01:40Z,2012-07-06T01:42Z,11515,1807,No
M2.6,2012-07-07T10:57Z,2012-07-07T11:03Z,2012-07-07T11:07Z,11515,1807,No
